KOD POCZTOWY;MIEJSCOWOŚĆ;WOJEWÓDZTWO;POWIAT
33-314;Łososina Dolna;małopolskie;nowosądecki
33-316;Rożnów;małopolskie;nowosądecki
33-318;Gródek nad Dunajcem;małopolskie;nowosądecki
33-321;Siedlce;małopolskie;nowosądecki
33-322;Korzenna;małopolskie;nowosądecki
33-323;Lipnica Wielka;małopolskie;nowosądecki
33-325;Krużlowa Wyżna;małopolskie;nowosądecki
33-326;Mogilno;małopolskie;nowosądecki
33-330;Grybów;małopolskie;nowosądecki
33-331;Stróże;małopolskie;nowosądecki
33-332;Florynka;małopolskie;nowosądecki
33-333;Ptaszkowa;małopolskie;nowosądecki
33-334;Kamionka Wielka;małopolskie;nowosądecki
33-335;Nawojowa;małopolskie;nowosądecki
33-336;Łabowa;małopolskie;nowosądecki
33-340;Stary Sącz;małopolskie;nowosądecki
33-342;Barcice Górne;małopolskie;nowosądecki
33-343;Rytro;małopolskie;nowosądecki
33-350;Piwniczna-Zdrój;małopolskie;nowosądecki
33-351;Łomnica-Zdrój;małopolskie;nowosądecki
33-360;Żegiestów;małopolskie;nowosądecki
33-370;Muszyna;małopolskie;nowosądecki
33-380;Krynica-Zdrój;małopolskie;nowosądecki
33-383;Tylicz;małopolskie;nowosądecki
33-386;Podegrodzie;małopolskie;nowosądecki
33-388;Gołkowice Dolne;małopolskie;nowosądecki
33-389;Jazowsko;małopolskie;nowosądecki
33-390;Łącko;małopolskie;nowosądecki
33-393;Marcinkowice;małopolskie;nowosądecki
33-394;Klęczany;małopolskie;nowosądecki
33-395;Chełmiec;małopolskie;nowosądecki
34-100;Wadowice;małopolskie;wadowicki
34-103;Witanowice;małopolskie;wadowicki
34-105;Wysoka;małopolskie;wadowicki
34-106;Mucharz;małopolskie;wadowicki
34-108;Frydrychowice;małopolskie;wadowicki
34-113;Paszkówka;małopolskie;wadowicki
34-114;Brzeźnica;małopolskie;wadowicki
34-115;Ryczów;małopolskie;wadowicki
34-116;Spytkowice;małopolskie;wadowicki
34-120;Andrychów;małopolskie;wadowicki
34-122;Wieprz;małopolskie;wadowicki
34-123;Chocznia;małopolskie;wadowicki
34-124;Klecza Górna;małopolskie;wadowicki
34-125;Sułkowice;małopolskie;wadowicki
34-130;Kalwaria Zebrzydowska;małopolskie;wadowicki
34-141;Przytkowice;małopolskie;wadowicki
34-142;Leńcze;małopolskie;wadowicki
34-143;Lanckorona;małopolskie;wadowicki
34-144;Izdebnik;małopolskie;wadowicki
34-145;Stronie;małopolskie;wadowicki
34-146;Stryszów;małopolskie;wadowicki
34-200;Sucha Beskidzka;małopolskie;suski
34-205;Stryszawa;małopolskie;suski
34-206;Krzeszów;małopolskie;suski
34-210;Zembrzyce;małopolskie;suski
34-211;Budzów;małopolskie;suski
34-212;Bieńkówka;małopolskie;suski
34-220;Maków Podhalański;małopolskie;suski
34-221;Skawica;małopolskie;suski
34-222;Zawoja;małopolskie;suski
34-231;Juszczyn;małopolskie;suski
34-232;Lachowice;małopolskie;suski
34-233;Hucisko;małopolskie;suski
34-234;Osielec;małopolskie;suski
34-235;Bystra;małopolskie;suski
34-236;Sidzina;małopolskie;suski
34-240;Jordanów;małopolskie;suski
34-242;Łętownia;małopolskie;suski
34-300;Żywiec;śląskie;żywiecki
34-311;Czernichów;śląskie;żywiecki
34-312;Międzybrodzie Bialskie;śląskie;żywiecki
34-321;Łękawica;śląskie;żywiecki
34-322;Gilowice;śląskie;żywiecki
34-323;Ślemień;śląskie;żywiecki
34-324;Lipowa;śląskie;żywiecki
34-325;Łodygowice;śląskie;żywiecki
34-326;Pietrzykowice;śląskie;żywiecki
34-331;Świnna;śląskie;żywiecki
34-332;Koszarawa;śląskie;żywiecki
34-335;Krzyżowa;śląskie;żywiecki
34-340;Jeleśnia;śląskie;żywiecki
34-350;Węgierska Górka;śląskie;żywiecki
34-360;Milówka;śląskie;żywiecki
34-370;Rajcza;śląskie;żywiecki
34-371;Ujsoły;śląskie;żywiecki
34-373;Zwardoń;śląskie;żywiecki
34-381;Radziechowy;śląskie;żywiecki
34-382;Bystra;śląskie;żywiecki
34-383;Kamesznica;śląskie;żywiecki
34-400;Nowy Targ;małopolskie;nowotarski
34-404;Klikuszowa;małopolskie;nowotarski
34-405;Białka Tatrzańska;małopolskie;tatrzański
34-406;Leśnica;małopolskie;tatrzański
34-407;Ciche;małopolskie;nowotarski
34-408;Odrowąż;małopolskie;nowotarski
34-424;Szaflary;małopolskie;nowotarski
34-425;Biały Dunajec;małopolskie;tatrzański
34-431;Waksmund;małopolskie;nowotarski
34-432;Łopuszna;małopolskie;nowotarski
34-433;Nowa Biała;małopolskie;nowotarski
34-434;Dębno;małopolskie;nowotarski
34-435;Frydman;małopolskie;nowotarski
34-436;Maniowy;małopolskie;nowotarski
34-440;Kluszkowce;małopolskie;nowotarski
34-441;Niedzica;małopolskie;nowotarski
34-442;Łapsze Niżne;małopolskie;nowotarski
34-443;Sromowce Wyżne;małopolskie;nowotarski
34-450;Krościenko nad Dunajcem;małopolskie;nowotarski
34-451;Tylmanowa;małopolskie;nowotarski
34-452;Ochotnica Dolna;małopolskie;nowotarski
34-453;Ochotnica Górna;małopolskie;nowotarski
34-460;Szczawnica;małopolskie;nowotarski
34-470;Czarny Dunajec;małopolskie;nowotarski
34-471;Ludźmierz;małopolskie;nowotarski
34-472;Piekielnik;małopolskie;nowotarski
34-480;Jabłonka;małopolskie;nowotarski
34-481;Chyżne;małopolskie;nowotarski
34-482;Lipnica Mała;małopolskie;nowotarski
34-483;Lipnica Wielka;małopolskie;nowotarski
34-484;Zubrzyca Górna;małopolskie;nowotarski
34-500;Zakopane;małopolskie;tatrzański
34-511;Kościelisko;małopolskie;tatrzański
34-512;Witów;małopolskie;tatrzański
34-513;Chochołów;małopolskie;nowotarski
34-514;Dzianisz;małopolskie;tatrzański
34-520;Poronin;małopolskie;tatrzański
34-521;Ząb;małopolskie;tatrzański
34-530;Bukowina Tatrzańska;małopolskie;tatrzański
34-531;Murzasichle;małopolskie;tatrzański
34-532;Jurgów;małopolskie;tatrzański
34-600;Limanowa;małopolskie;limanowski
34-602;Laskowa;małopolskie;limanowski
34-603;Ujanowice;małopolskie;limanowski
34-604;Przyszowa;małopolskie;limanowski
34-606;Łukowica;małopolskie;limanowski
34-607;Szczawa;małopolskie;limanowski
34-608;Kamienica;małopolskie;limanowski
34-615;Słopnice;małopolskie;limanowski
34-617;Wilkowisko;małopolskie;limanowski
34-620;Jodłownik;małopolskie;limanowski
34-623;Szczyrzyc;małopolskie;limanowski
34-625;Skrzydlna;małopolskie;limanowski
34-642;Dobra;małopolskie;limanowski
34-643;Jurków;małopolskie;limanowski
34-650;Tymbark;małopolskie;limanowski
34-652;Nowe Rybie;małopolskie;limanowski
34-654;Męcina;małopolskie;limanowski
34-700;Rabka-Zdrój;małopolskie;nowotarski
34-713;Skawa;małopolskie;nowotarski
34-720;Chabówka;małopolskie;nowotarski
34-721;Raba Wyżna;małopolskie;nowotarski
34-722;Podwilk;małopolskie;nowotarski
34-723;Sieniawa;małopolskie;nowotarski
34-730;Mszana Dolna;małopolskie;limanowski
34-732;Olszówka;małopolskie;limanowski
34-733;Mszana Górna;małopolskie;limanowski
34-734;Kasinka Mała;małopolskie;limanowski
34-735;Niedźwiedź;małopolskie;limanowski
34-736;Lubomierz;małopolskie;limanowski
34-741;Kasina Wielka;małopolskie;limanowski
34-745;Spytkowice;małopolskie;nowotarski
35-001;Rzeszów;podkarpackie;Miasto Rzeszów
36-001;Trzebownisko;podkarpackie;rzeszowski
36-002;Jasionka;podkarpackie;rzeszowski
36-003;Przewrotne;podkarpackie;rzeszowski
36-004;Łąka;podkarpackie;rzeszowski
36-007;Krasne;podkarpackie;rzeszowski
36-016;Chmielnik;podkarpackie;rzeszowski
36-017;Błędowa Tyczyńska;podkarpackie;rzeszowski
36-020;Tyczyn;podkarpackie;rzeszowski
36-021;Budziwój;podkarpackie;rzeszowski
36-024;Hyżne;podkarpackie;rzeszowski
36-025;Dylągówka;podkarpackie;rzeszowski
36-030;Błażowa;podkarpackie;rzeszowski
36-032;Kąkolówka;podkarpackie;rzeszowski
36-034;Futoma;podkarpackie;rzeszowski
36-040;Boguchwała;podkarpackie;rzeszowski
36-041;Zarzecze;podkarpackie;rzeszowski
36-042;Lubenia;podkarpackie;rzeszowski
36-043;Straszydle;podkarpackie;rzeszowski
36-046;Zgłobień;podkarpackie;rzeszowski
36-047;Niechobrz;podkarpackie;rzeszowski
36-050;Sokołów Małopolski;podkarpackie;rzeszowski
36-051;Górno;podkarpackie;rzeszowski
36-052;Nienadówka;podkarpackie;rzeszowski
36-053;Kamień;podkarpackie;rzeszowski
36-054;Mrowla;podkarpackie;rzeszowski
36-055;Bratkowice;podkarpackie;rzeszowski
36-060;Głogów Małopolski;podkarpackie;rzeszowski
36-061;Harta;podkarpackie;rzeszowski
36-062;Zaczernie;podkarpackie;rzeszowski
36-065;Dynów;podkarpackie;rzeszowski
36-068;Bachórz;podkarpackie;rzeszowski
36-069;Dylągowa;podkarpackie;rzeszowski
36-071;Trzciana;podkarpackie;rzeszowski
36-072;Świlcza;podkarpackie;rzeszowski
36-073;Strażów;podkarpackie;rzeszowski
36-100;Kolbuszowa;podkarpackie;kolbuszowski
36-105;Cmolas;podkarpackie;kolbuszowski
36-106;Trzęsówka;podkarpackie;kolbuszowski
36-107;Przyłęk;podkarpackie;kolbuszowski
36-110;Majdan Królewski;podkarpackie;kolbuszowski
36-121;Wilcza Wola;podkarpackie;kolbuszowski
36-122;Dzikowiec;podkarpackie;kolbuszowski
36-123;Lipnica;podkarpackie;kolbuszowski
36-125;Wola Raniżowska;podkarpackie;kolbuszowski
36-130;Raniżów;podkarpackie;kolbuszowski
36-145;Widełka;podkarpackie;kolbuszowski
36-147;Niwiska;podkarpackie;kolbuszowski
36-200;Brzozów;podkarpackie;brzozowski
36-203;Izdebki;podkarpackie;brzozowski
36-204;Dydnia;podkarpackie;brzozowski
36-205;Witryłów;podkarpackie;brzozowski
36-206;Humniska;podkarpackie;brzozowski
36-207;Grabownica Starzeńska;podkarpackie;brzozowski
36-211;Jasionów;podkarpackie;brzozowski
36-212;Trześniów;podkarpackie;brzozowski
36-213;Haczów;podkarpackie;brzozowski
36-220;Jasienica Rosielna;podkarpackie;brzozowski
36-221;Blizne;podkarpackie;brzozowski
36-230;Domaradz;podkarpackie;brzozowski
36-231;Golcowa;podkarpackie;brzozowski
36-233;Wesoła;podkarpackie;brzozowski
36-244;Siedliska;podkarpackie;brzozowski
36-245;Nozdrzec;podkarpackie;brzozowski
37-100;Łańcut;podkarpackie;łańcucki
37-110;Żołynia;podkarpackie;łańcucki
37-111;Rakszawa;podkarpackie;łańcucki
37-112;Kosina;podkarpackie;łańcucki
37-114;Białobrzegi;podkarpackie;łańcucki
37-120;Markowa;podkarpackie;łańcucki
37-121;Husów;podkarpackie;łańcucki
37-122;Albigowa;podkarpackie;łańcucki
37-123;Handzlówka;podkarpackie;łańcucki
37-124;Kraczkowa;podkarpackie;łańcucki
37-125;Czarna;podkarpackie;łańcucki
37-126;Medynia Głogowska;podkarpackie;łańcucki
37-127;Krzemienica;podkarpackie;łańcucki
37-200;Przeworsk;podkarpackie;przeworski
37-203;Gniewczyna Łańcucka;podkarpackie;przeworski
37-204;Tryńcza;podkarpackie;przeworski
37-205;Zarzecze;podkarpackie;przeworski
37-206;Sietesz;podkarpackie;przeworski
37-207;Gać;podkarpackie;przeworski
37-220;Kańczuga;podkarpackie;przeworski
37-222;Łopuszka Wielka;podkarpackie;przeworski
37-224;Pantalowice;podkarpackie;przeworski
37-230;Manasterz;podkarpackie;przeworski
37-232;Jawornik Polski;podkarpackie;przeworski
37-300;Leżajsk;podkarpackie;leżajski
37-303;Kuryłówka;podkarpackie;leżajski
37-304;Brzyska Wola;podkarpackie;leżajski
37-305;Dębno;podkarpackie;leżajski
37-306;Grodzisko Dolne;podkarpackie;leżajski
37-307;Brzóza Królewska;podkarpackie;leżajski
37-310;Nowa Sarzyna;podkarpackie;leżajski
37-311;Wola Żarczycka;podkarpackie;leżajski
37-312;Łętownia;podkarpackie;leżajski
37-400;Nisko;podkarpackie;niżański
37-403;Pysznica;podkarpackie;stalowowolski
37-405;Jarocin;podkarpackie;niżański
37-410;Ulanów;podkarpackie;niżański
37-413;Harasiuki;podkarpackie;niżański
37-414;Huta Krzeszowska;podkarpackie;niżański
37-415;Zaleszany;podkarpackie;stalowowolski
37-416;Zbydniów;podkarpackie;stalowowolski
37-418;Krzeszów;podkarpackie;niżański
37-420;Rudnik nad Sanem;podkarpackie;niżański
37-430;Jeżowe;podkarpackie;niżański
37-433;Bojanów;podkarpackie;stalowowolski
37-450;Stalowa Wola;podkarpackie;stalowowolski
37-455;Radomyśl nad Sanem;podkarpackie;stalowowolski
37-470;Zaklików;podkarpackie;stalowowolski
37-500;Jarosław;podkarpackie;jarosławski
37-511;Wólka Pełkińska;podkarpackie;jarosławski
37-514;Munina;podkarpackie;jarosławski
37-522;Wiązownica;podkarpackie;jarosławski
37-523;Radawa;podkarpackie;jarosławski
37-530;Sieniawa;podkarpackie;przeworski
37-534;Adamówka;podkarpackie;przeworski
37-543;Laszki;podkarpackie;jarosławski
37-544;Zapałów;podkarpackie;jarosławski
37-550;Radymno;podkarpackie;jarosławski
37-552;Młyny;podkarpackie;jarosławski
37-554;Łowce;podkarpackie;jarosławski
37-555;Sośnica;podkarpackie;jarosławski
37-560;Pruchnik;podkarpackie;jarosławski
37-561;Chłopice;podkarpackie;jarosławski
37-562;Rokietnica;podkarpackie;jarosławski
37-565;Roźwienica;podkarpackie;jarosławski
37-600;Lubaczów;podkarpackie;lubaczowski
37-610;Narol;podkarpackie;lubaczowski
37-611;Cieszanów;podkarpackie;lubaczowski
37-612;Stary Lubliniec;podkarpackie;lubaczowski
37-613;Ruda Różaniecka;podkarpackie;lubaczowski
37-614;Płazów;podkarpackie;lubaczowski
37-620;Horyniec-Zdrój;podkarpackie;lubaczowski
37-621;Basznia Dolna;podkarpackie;lubaczowski
37-625;Krowica Sama;podkarpackie;lubaczowski
37-626;Łukawiec;podkarpackie;lubaczowski
37-627;Wielkie Oczy;podkarpackie;lubaczowski
37-630;Oleszyce;podkarpackie;lubaczowski
37-631;Nowa Grobla;podkarpackie;lubaczowski
37-632;Stary Dzików;podkarpackie;lubaczowski
37-700;Przemyśl;podkarpackie;Miasto Przemyśl
37-710;Żurawica;podkarpackie;przemyski
37-712;Orzechowce;podkarpackie;przemyski
37-713;Maćkowice;podkarpackie;przemyski
37-716;Orły;podkarpackie;przemyski
37-717;Kaszyce;podkarpackie;przemyski
37-722;Wyszatyce;podkarpackie;przemyski
37-723;Stubno;podkarpackie;przemyski
37-724;Kalników;podkarpackie;przemyski
37-732;Medyka;podkarpackie;przemyski
37-733;Pikulice;podkarpackie;przemyski
37-734;Fredropol;podkarpackie;przemyski
37-740;Bircza;podkarpackie;przemyski
37-741;Krasiczyn;podkarpackie;przemyski
37-742;Rybotycze;podkarpackie;przemyski
37-743;Nowosiółki Dydyńskie;podkarpackie;przemyski
37-750;Dubiecko;podkarpackie;przemyski
37-751;Żohatyn;podkarpackie;przemyski
37-752;Bachórzec;podkarpackie;przemyski
37-754;Babice;podkarpackie;przemyski
37-755;Krzywcza;podkarpackie;przemyski
38-100;Strzyżów;podkarpackie;strzyżowski
38-102;Grodzisko;podkarpackie;strzyżowski
38-111;Żyznów;podkarpackie;strzyżowski
38-112;Lutcza;podkarpackie;strzyżowski
38-114;Niebylec;podkarpackie;strzyżowski
38-115;Połomia;podkarpackie;strzyżowski
38-116;Gwoźnica Górna;podkarpackie;strzyżowski
38-120;Czudec;podkarpackie;strzyżowski
38-121;Pstrągowa;podkarpackie;strzyżowski
38-123;Wysoka Strzyżowska;podkarpackie;strzyżowski
38-124;Wiśniowa;podkarpackie;strzyżowski
38-125;Stępina;podkarpackie;strzyżowski
38-126;Markuszowa;podkarpackie;strzyżowski
38-130;Frysztak;podkarpackie;strzyżowski
38-131;Gogołów;podkarpackie;strzyżowski
38-200;Jasło;podkarpackie;jasielski
38-203;Szebnie;podkarpackie;jasielski
38-204;Tarnowiec;podkarpackie;jasielski
38-207;Przysieki;podkarpackie;jasielski
38-212;Brzyska;podkarpackie;jasielski
38-213;Kołaczyce;podkarpackie;jasielski
38-214;Bieździedza;podkarpackie;jasielski
38-220;Dębowiec;podkarpackie;jasielski
38-222;Cieklin;podkarpackie;jasielski
38-223;Osiek Jasielski;podkarpackie;jasielski
38-230;Nowy Żmigród;podkarpackie;jasielski
38-232;Krempna;podkarpackie;jasielski
38-241;Osobnica;podkarpackie;jasielski
38-242;Skołyszyn;podkarpackie;jasielski
38-243;Harklowa;podkarpackie;jasielski
38-244;Święcany;podkarpackie;jasielski
38-245;Czermna;małopolskie;tarnowski
38-246;Szerzyny;małopolskie;tarnowski
38-247;Ołpiny;małopolskie;tarnowski
38-300;Gorlice;małopolskie;gorlicki
38-303;Kobylanka;małopolskie;gorlicki
38-304;Kryg;małopolskie;gorlicki
38-305;Lipinki;małopolskie;gorlicki
38-306;Libusza;małopolskie;gorlicki
38-307;Sękowa;małopolskie;gorlicki
38-311;Szymbark;małopolskie;gorlicki
38-312;Ropa;małopolskie;gorlicki
38-313;Śnietnica;małopolskie;gorlicki
38-314;Łosie;małopolskie;gorlicki
38-315;Uście Gorlickie;małopolskie;gorlicki
38-316;Wysowa;małopolskie;gorlicki
38-321;Moszczenica;małopolskie;gorlicki
38-322;Łużna;małopolskie;gorlicki
38-323;Rożnowice;małopolskie;gorlicki
38-324;Siedliska;małopolskie;gorlicki
38-331;Szalowa;małopolskie;gorlicki
38-333;Zagórzany;małopolskie;gorlicki
38-340;Biecz;małopolskie;gorlicki
38-350;Bobowa;małopolskie;gorlicki
38-400;Krosno;podkarpackie;Miasto Krosno
38-406;Odrzykoń;podkarpackie;krośnieński
38-407;Bratkówka;podkarpackie;krośnieński
38-408;Węglówka;podkarpackie;krośnieński
38-420;Korczyna;podkarpackie;krośnieński
38-421;Kombornia;podkarpackie;krośnieński
38-422;Krościenko Wyżne;podkarpackie;krośnieński
38-430;Miejsce Piastowe;podkarpackie;krośnieński
38-440;Iwonicz-Zdrój;podkarpackie;krośnieński
38-441;Lubatowa;podkarpackie;krośnieński
38-450;Dukla;podkarpackie;krośnieński
38-455;Głowienka;podkarpackie;krośnieński
38-456;Łęki Dukielskie;podkarpackie;krośnieński
38-457;Zręcin;podkarpackie;krośnieński
38-458;Chorkówka;podkarpackie;krośnieński
38-459;Kopytowa;podkarpackie;krośnieński
38-460;Jedlicze;podkarpackie;krośnieński
38-462;Kobylany;podkarpackie;krośnieński
38-471;Wojaszówka;podkarpackie;krośnieński
38-472;Łączki Jagiellońskie;podkarpackie;krośnieński
38-473;Łęki Strzyżowskie;podkarpackie;krośnieński
38-480;Rymanów;podkarpackie;krośnieński
38-481;Rymanów-Zdrój;podkarpackie;krośnieński
38-482;Klimkówka;podkarpackie;krośnieński
38-483;Wróblik Szlachecki;podkarpackie;krośnieński
38-485;Jaśliska;podkarpackie;krośnieński
38-500;Sanok;podkarpackie;sanocki
38-503;Mrzygłód;podkarpackie;sanocki
38-504;Niebieszczany;podkarpackie;sanocki
38-505;Bukowsko;podkarpackie;sanocki
38-506;Nowotaniec;podkarpackie;sanocki
38-507;Jurowce;podkarpackie;sanocki
38-516;Tarnawa Dolna;podkarpackie;sanocki
38-524;Besko;podkarpackie;sanocki
38-530;Zarszyn;podkarpackie;sanocki
38-533;Nowosielce;podkarpackie;sanocki
38-535;Tyrawa Wołoska;podkarpackie;sanocki
38-540;Zagórz;podkarpackie;sanocki
38-542;Rzepedź;podkarpackie;sanocki
38-543;Komańcza;podkarpackie;sanocki
38-600;Lesko;podkarpackie;leski
38-604;Hoczew;podkarpackie;leski
38-606;Baligród;podkarpackie;leski
38-607;Cisna;podkarpackie;leski
38-608;Wetlina;podkarpackie;leski
38-610;Polańczyk;podkarpackie;leski
38-700;Ustrzyki Dolne;podkarpackie;bieszczadzki
38-709;Polana;podkarpackie;bieszczadzki
38-710;Czarna Góra;podkarpackie;bieszczadzki
38-711;Ropienka;podkarpackie;bieszczadzki
38-712;Wojtkowa;podkarpackie;bieszczadzki
38-713;Lutowiska;podkarpackie;bieszczadzki
38-714;Ustrzyki Górne;podkarpackie;bieszczadzki
38-715;Dwernik;podkarpackie;bieszczadzki
38-722;Olszanica;podkarpackie;leski
39-100;Ropczyce;podkarpackie;ropczycko-sędziszowski
39-102;Lubzina;podkarpackie;ropczycko-sędziszowski
39-103;Ostrów;podkarpackie;ropczycko-sędziszowski
39-104;Ocieka;podkarpackie;ropczycko-sędziszowski
39-105;Gnojnica;podkarpackie;ropczycko-sędziszowski
39-106;Łączki Kucharskie;podkarpackie;ropczycko-sędziszowski
39-107;Niedźwiada;podkarpackie;ropczycko-sędziszowski
39-110;Wielopole Skrzyńskie;podkarpackie;ropczycko-sędziszowski
39-111;Brzeziny;podkarpackie;ropczycko-sędziszowski
39-120;Sędziszów Małopolski;podkarpackie;ropczycko-sędziszowski
39-122;Kamionka;podkarpackie;ropczycko-sędziszowski
39-123;Borek Wielki;podkarpackie;ropczycko-sędziszowski
39-124;Iwierzyce;podkarpackie;ropczycko-sędziszowski
39-126;Zagorzyce;podkarpackie;ropczycko-sędziszowski
39-127;Będziemyśl;podkarpackie;ropczycko-sędziszowski
39-200;Dębica;podkarpackie;dębicki
39-203;Nagoszyn;podkarpackie;dębicki
39-204;Żyraków;podkarpackie;dębicki
39-205;Pustków;podkarpackie;dębicki
39-207;Brzeźnica;podkarpackie;dębicki
39-209;Zasów;podkarpackie;dębicki
39-215;Czarna;podkarpackie;dębicki
39-216;Stara Jastrząbka;podkarpackie;dębicki
39-217;Grabiny;podkarpackie;dębicki
39-218;Straszęcin;podkarpackie;dębicki
39-220;Pilzno;podkarpackie;dębicki
39-221;Łęki Górne;podkarpackie;dębicki
39-223;Strzegocice;podkarpackie;dębicki
39-225;Jodłowa;podkarpackie;dębicki
39-230;Brzostek;podkarpackie;dębicki
39-231;Siedliska-Bogusz;podkarpackie;dębicki
39-232;Grudna Dolna;podkarpackie;dębicki
39-300;Mielec;podkarpackie;mielecki
39-304;Czermin;podkarpackie;mielecki
39-305;Borowa;podkarpackie;mielecki
39-306;Górki;podkarpackie;mielecki
39-307;Gawłuszowice;podkarpackie;mielecki
39-308;Wadowice Górne;podkarpackie;mielecki
39-310;Radomyśl Wielki;podkarpackie;mielecki
39-311;Zdziarzec;podkarpackie;mielecki
39-312;Żarówka;podkarpackie;mielecki
39-315;Ruda;podkarpackie;mielecki
39-320;Przecław;podkarpackie;mielecki
39-321;Tuszyma;podkarpackie;mielecki
39-322;Rzemień;podkarpackie;mielecki
39-331;Chorzelów;podkarpackie;mielecki
39-332;Tuszów Narodowy;podkarpackie;mielecki
39-333;Sarnów;podkarpackie;mielecki
39-340;Padew Narodowa;podkarpackie;mielecki
39-400;Tarnobrzeg;podkarpackie;Miasto Tarnobrzeg
39-410;Grębów;podkarpackie;tarnobrzeski
39-432;Gorzyce;podkarpackie;tarnobrzeski
39-434;Trześń;podkarpackie;tarnobrzeski
39-442;Chmielów;podkarpackie;tarnobrzeski
39-450;Baranów Sandomierski;podkarpackie;tarnobrzeski
39-451;Skopanie;podkarpackie;tarnobrzeski
39-460;Nowa Dęba;podkarpackie;tarnobrzeski
40-001;Katowice;śląskie;Miasto Katowice
40-314;Mikołów;śląskie;mikołowski
41-100;Siemianowice Śląskie;śląskie;Miasto Siemianowice Śląskie
41-200;Sosnowiec;śląskie;Miasto Sosnowiec
41-250;Czeladź;śląskie;będziński
41-260;Sławków;śląskie;będziński
41-300;Dąbrowa Górnicza;śląskie;Miasto Dąbrowa Górnicza
41-400;Mysłowice;śląskie;Miasto Mysłowice
41-403;Chełm Śląski;śląskie;bieruńsko-lędziński
41-407;Imielin;śląskie;bieruńsko-lędziński
41-500;Chorzów;śląskie;Miasto Chorzów
41-600;Świętochłowice;śląskie;Miasto Świętochłowice
41-700;Ruda Śląska;śląskie;Miasto Ruda Śląska
41-800;Zabrze;śląskie;Miasto Zabrze
41-900;Bytom;śląskie;Miasto Bytom
41-922;Radzionków;śląskie;tarnogórski
41-940;Piekary Śląskie;śląskie;Miasto Piekary Śląskie
42-100;Kłobuck;śląskie;kłobucki
42-110;Popów;śląskie;kłobucki
42-120;Miedźno;śląskie;kłobucki
42-122;Ostrowy nad Okszą;śląskie;kłobucki
42-125;Kamyk;śląskie;kłobucki
42-130;Wręczyca;śląskie;kłobucki
42-133;Węglowice;śląskie;kłobucki
42-134;Truskolasy;śląskie;kłobucki
42-140;Panki;śląskie;kłobucki
42-141;Przystajń;śląskie;kłobucki
42-142;Ługi-Radły;śląskie;kłobucki
42-151;Waleńczów;śląskie;kłobucki
42-152;Opatów;śląskie;kłobucki
42-160;Krzepice;śląskie;kłobucki
42-161;Starokrzepice;śląskie;kłobucki
42-164;Parzymiechy;śląskie;kłobucki
42-165;Lipie;śląskie;kłobucki
42-166;Stanisławów;śląskie;kłobucki
42-200;Częstochowa;śląskie;Miasto Częstochowa
42-230;Koniecpol;śląskie;częstochowski
42-231;Cykarzew Północny;śląskie;częstochowski
42-233;Mykanów;śląskie;częstochowski
42-235;Lelów;śląskie;częstochowski
42-240;Rudniki;śląskie;częstochowski
42-242;Rędziny;śląskie;częstochowski
42-244;Mstów;śląskie;częstochowski
42-248;Przyrów;śląskie;częstochowski
42-250;Julianka;śląskie;częstochowski
42-253;Janów;śląskie;częstochowski
42-256;Olsztyn;śląskie;częstochowski
42-260;Kamienica Polska;śląskie;częstochowski
42-261;Starcza;śląskie;częstochowski
42-262;Poczesna;śląskie;częstochowski
42-263;Wrzosowa;śląskie;częstochowski
42-265;Dąbrowa Zielona;śląskie;częstochowski
42-270;Kłomnice;śląskie;częstochowski
42-274;Konopiska;śląskie;częstochowski
42-282;Kruszyna;śląskie;częstochowski
42-283;Boronów;śląskie;lubliniecki
42-284;Herby;śląskie;lubliniecki
42-286;Koszęcin;śląskie;lubliniecki
42-287;Lubsza;śląskie;lubliniecki
42-288;Strzebiń;śląskie;lubliniecki
42-289;Woźniki;śląskie;lubliniecki
42-290;Blachownia;śląskie;częstochowski
42-300;Myszków;śląskie;myszkowski
42-310;Żarki;śląskie;myszkowski
42-311;Żarki-Letnisko;śląskie;myszkowski
42-320;Niegowa;śląskie;myszkowski
42-350;Koziegłowy;śląskie;myszkowski
42-360;Poraj;śląskie;myszkowski
42-400;Zawiercie;śląskie;zawierciański
42-421;Włodowice;śląskie;zawierciański
42-425;Kroczyce;śląskie;zawierciański
42-427;Pradła;śląskie;zawierciański
42-436;Pilica;śląskie;zawierciański
42-439;Żarnowiec;śląskie;zawierciański
42-440;Ogrodzieniec;śląskie;zawierciański
42-445;Szczekociny;śląskie;zawierciański
42-446;Irządze;śląskie;zawierciański
42-450;Łazy;śląskie;zawierciański
42-454;Niegowonice;śląskie;zawierciański
42-460;Mierzęcice;śląskie;będziński
42-470;Siewierz;śląskie;będziński
42-480;Poręba;śląskie;zawierciański
42-500;Będzin;śląskie;będziński
42-510;Wojkowice Kościelne;śląskie;będziński
42-512;Psary;śląskie;będziński
42-575;Strzyżowice;śląskie;będziński
42-580;Wojkowice;śląskie;będziński
42-583;Bobrowniki;śląskie;będziński
42-595;Sączów;śląskie;będziński
42-600;Tarnowskie Góry;śląskie;tarnogórski
42-610;Miasteczko Śląskie;śląskie;tarnogórski
42-620;Nakło;śląskie;tarnogórski
42-622;Świerklaniec;śląskie;tarnogórski
42-624;Tąpkowice;śląskie;tarnogórski
42-625;Ożarowice;śląskie;tarnogórski
42-660;Kalety;śląskie;tarnogórski
